,0
243,surface_pressure_delta_minmax_forecast_delta_t+6_t
244,surface_pressure_delta_minmax_forecast_delta_t+12_t
245,surface_pressure_delta_minmax_forecast_delta_t+24_t
246,surface_pressure_std_forecast_t+1
247,surface_pressure_std_forecast_t+3
248,surface_pressure_std_forecast_t+6
249,surface_pressure_std_forecast_t+9
250,surface_pressure_std_forecast_t+12
251,surface_pressure_std_forecast_t+16
252,surface_pressure_std_forecast_t+24
253,surface_pressure_std_forecast_delta_t+1_t
254,surface_pressure_std_forecast_delta_t+6_t
255,surface_pressure_std_forecast_delta_t+12_t
256,surface_pressure_std_forecast_delta_t+24_t
257,cloud_cover_delta_minmax_forecast_t+1
258,cloud_cover_delta_minmax_forecast_t+3
259,cloud_cover_delta_minmax_forecast_t+6
260,cloud_cover_delta_minmax_forecast_t+9
261,cloud_cover_delta_minmax_forecast_t+12
262,cloud_cover_delta_minmax_forecast_t+16
263,cloud_cover_delta_minmax_forecast_t+24
264,cloud_cover_delta_minmax_forecast_delta_t+1_t
265,cloud_cover_delta_minmax_forecast_delta_t+6_t
266,cloud_cover_delta_minmax_forecast_delta_t+12_t
267,cloud_cover_delta_minmax_forecast_delta_t+24_t
268,cloud_cover_std_forecast_t+1
269,cloud_cover_std_forecast_t+3
270,cloud_cover_std_forecast_t+6
271,cloud_cover_std_forecast_t+9
272,cloud_cover_std_forecast_t+12
273,cloud_cover_std_forecast_t+16
274,cloud_cover_std_forecast_t+24
275,cloud_cover_std_forecast_delta_t+1_t
276,cloud_cover_std_forecast_delta_t+6_t
277,cloud_cover_std_forecast_delta_t+12_t
278,cloud_cover_std_forecast_delta_t+24_t
279,wind_speed_10m_delta_minmax_forecast_t+1
280,wind_speed_10m_delta_minmax_forecast_t+3
281,wind_speed_10m_delta_minmax_forecast_t+6
282,wind_speed_10m_delta_minmax_forecast_t+9
283,wind_speed_10m_delta_minmax_forecast_t+12
284,wind_speed_10m_delta_minmax_forecast_t+16
285,wind_speed_10m_delta_minmax_forecast_t+24
286,wind_speed_10m_delta_minmax_forecast_delta_t+1_t
287,wind_speed_10m_delta_minmax_forecast_delta_t+6_t
288,wind_speed_10m_delta_minmax_forecast_delta_t+12_t
289,wind_speed_10m_delta_minmax_forecast_delta_t+24_t
290,wind_speed_10m_std_forecast_t+1
291,wind_speed_10m_std_forecast_t+3
292,wind_speed_10m_std_forecast_t+6
293,wind_speed_10m_std_forecast_t+9
294,wind_speed_10m_std_forecast_t+12
295,wind_speed_10m_std_forecast_t+16
296,wind_speed_10m_std_forecast_t+24
297,wind_speed_10m_std_forecast_delta_t+1_t
298,wind_speed_10m_std_forecast_delta_t+6_t
299,wind_speed_10m_std_forecast_delta_t+12_t
300,wind_speed_10m_std_forecast_delta_t+24_t
301,wind_direction_10m_delta_minmax_forecast_t+1
302,wind_direction_10m_delta_minmax_forecast_t+3
303,wind_direction_10m_delta_minmax_forecast_t+6
304,wind_direction_10m_delta_minmax_forecast_t+9
305,wind_direction_10m_delta_minmax_forecast_t+12
306,wind_direction_10m_delta_minmax_forecast_t+16
307,wind_direction_10m_delta_minmax_forecast_t+24
